Price,Close,High,Low,Open,Volume,Ticker
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2023-03-02,381.35943603515625,382.20305024263513,376.1060389057773,376.4415712731506,85127800,SPY
2023-03-03,387.47564697265625,387.7249046275864,382.5290234904316,383.1808966203792,90120000,SPY
2023-03-06,387.74407958984375,390.60085911261217,387.3031100177366,388.3000821585358,72795900,SPY
2023-03-07,381.8004150390625,387.93578060753197,381.18689603557027,387.69611880425083,108310600,SPY
2023-03-08,382.4236145019531,383.1809248459443,380.18994978883694,381.91553257565727,74746600,SPY
2023-03-09,375.367919921875,384.8777136423342,374.3805144113086,383.2096475110798,111945300,SPY
2023-03-10,369.9515380859375,376.9017301661393,368.42729257488133,374.82145290553643,189253000,SPY
2023-03-13,369.42425537109375,374.2462786691214,364.9090354410611,366.02106965683873,157790000,SPY
2023-03-14,375.5308837890625,377.17975816787913,371.0443925918974,374.35173718346283,149752400,SPY
2023-03-15,373.18218994140625,373.38349766674736,367.8425178859198,369.9323910671056,172996900,SPY
2023-03-16,379.729736328125,380.074864540284,370.3158428605711,370.8239247170232,143254200,SPY
2023-03-17,375.2897033691406,379.5334763060183,373.9039803951704,378.3979622867853,140553400,SPY
2023-03-20,378.89837646484375,379.31219038734906,375.3667296908288,376.069194315506,93055800,SPY
2023-03-21,383.8735046386719,384.3546576570402,380.66900909067914,382.2664406357319,91524200,SPY
2023-03-22,377.32977294921875,387.31851343521214,377.29130185553555,383.70026302343734,111746600,SPY
2023-03-23,378.3498229980469,384.239130397535,375.6361133164018,380.1974338773298,119351300,SPY
2023-03-24,380.83258056640625,380.9191845780308,374.7219318967555,377.06996076940004,107682400,SPY
2023-03-27,381.5447082519531,383.8831342228275,380.64977069262744,383.1132717788515,74010400,SPY
2023-03-28,380.688232421875,381.54466943004763,378.8502245684134,380.8518079845922,62871700,SPY
2023-03-29,386.2215270996094,386.46210360467114,383.65215710396006,384.8550396292689,77497900,SPY
2023-03-30,388.48291015625,389.10840312839423,386.6160343292529,388.85819419263817,69840000,SPY
2023-03-31,393.9584045410156,394.25671700401034,389.30081840141827,389.40668731548556,112062600,SPY
2023-04-03,395.45965576171875,395.8638078292274,393.0442583450311,393.43880732243116,67391100,SPY
2023-04-04,393.265625,396.3931196515644,391.8895050342017,396.10441021722386,66601500,SPY
2023-04-05,392.23590087890625,393.29444326978927,390.58073351331996,392.53421336625786,65200200,SPY
2023-04-06,393.7659912109375,394.0450681714436,390.38828778154027,391.43719778873736,63743300,SPY
